sku_code,ean_barcode,product_name,brand,category,sub_category,size,color,fabric,batch_code,manufacturing_date,mrp,hsn_code,gst_pct
SKU-0014,8906718151466,ThreadBare Formal Shirt,StreetStyle,Menswear,Formal Shirt,28,Charcoal,Poly-Cotton,B2502-925,2025-02-14,6567.52,6205,5
SKU-0015,8902977564227,ThreadBare Kurti,KhaadiKraft,Womenswear,Kurti,42,Sky Blue,Wool,B2410-441,2024-10-08,2179.55,6101,12
SKU-0016,8908104809070,EthnicEdge Chinos,LoomLine,Menswear,Chinos,XXL,Lavender,Polyester,B2412-618,2024-12-09,4401.88,6217,5
SKU-0017,8907339839488,IndoChic Shawl राजशाही,DesiDrape,Winterwear,Shawl,34,Sky Blue,Crepe,B2412-635,2024-12-04,688.08,6104,5
SKU-0018,8908152676103,ThreadBare Formal Shirt,EthnicEdge,Menswear,Formal Shirt,L,Black,Georgette,B2502-132,2025-02-27,8742.11,6103,12
SKU-0019,8905433122604,CottonKing Sherwani,LoomLine,Ethnic Wear,Sherwani,40,Indigo,Fleece,B2412-815,2024-12-19,4572.07,6211,5
SKU-0020,8901891267120,FabIndia Blouse,StitchCraft,Womenswear,Blouse,40,Maroon,Linen,B2502-644,2025-02-21,2238.94,6101,5
SKU-0021,8908921430432,DesiDrape Kids Jeans,FabIndia,Kids,Kids Jeans,3XL,Rust,Poly-Cotton,B2410-899,2024-10-14,2687.42,6101,5
SKU-0022,8905750842117,EthnicEdge Formal Shirt,RoyalStitch,Menswear,Formal Shirt,28,Rust,Silk,B2404-554,2024-04-12,1344.78,6205,12
SKU-0023,8902099507091,WeaveMaster Tie संग्रह,UrbanWeave,Accessories,Tie,32,Red,Georgette,B2501-956,2025-01-30,3436.54,6111,12
SKU-0024,8901355128305,ThreadBare Wallet,DesiDrape,Accessories,Wallet,32,Pink,Cotton,B2406-523,2024-06-03,8293.0,6202,5
SKU-0025,8905312306485,UrbanWeave Scarf,OmniThreads,Accessories,Scarf,42,Beige,Denim,B2410-323,2024-10-08,9912.32,6105,5
SKU-0026,8906623767746,EthnicEdge Blazer,StitchCraft,Menswear,Blazer,Free Size,Navy,Linen,B2501-340,2025-01-28,3488.5,6214,5
SKU-0027,8900495799325,SilkRoute Sweater सुनहरा,CottonKing,Winterwear,Sweater,3XL,Mustard,Wool,B2407-882,2024-07-23,9649.95,6104,5
SKU-0028,8907298211777,EthnicEdge Thermal,IndoChic,Winterwear,Thermal,32,Navy,Fleece,B2404-363,2024-04-28,3816.97,6204,12
SKU-0029,8901975573165,FabIndia Jumpsuit,IndoChic,Womenswear,Jumpsuit,3XL,Lavender,Cotton Blend,B2411-760,2024-11-06,996.27,6106,5
SKU-0030,8903320787877,RoyalStitch Lehenga शानदार,LoomLine,Ethnic Wear,Lehenga,3XL,Pink,Silk,B2409-628,2024-09-18,9506.63,6214,5
SKU-0031,8904020032359,UrbanWeave Casual Shirt,StitchCraft,Menswear,Casual Shirt,32,Black,Poly-Cotton,B2410-859,2024-10-17,3117.45,6110,5
SKU-0032,8903993551424,FabIndia Thermal,WeaveMaster,Winterwear,Thermal,M,Grey,Georgette,B2412-864,2024-12-13,5771.07,6203,12
SKU-0033,8905652987082,ThreadBare Kids Dress,FabIndia,Kids,Kids Dress,Free Size,Sky Blue,Poly-Cotton,B2407-502,2024-07-09,5204.79,6214,5
SKU-0034,8903270074624,OmniThreads Cap,DesiDrape,Accessories,Cap,M,Pink,Polyester,B2404-803,2024-04-16,2329.77,6101,5
SKU-0035,8901308824768,CottonKing Palazzo,StreetStyle,Womenswear,Palazzo,L,Maroon,Fleece,B2404-301,2024-04-26,7651.13,6109,5
SKU-0036,8907893431855,ThreadBare Salwar Set,RoyalStitch,Womenswear,Salwar Set,XL,Indigo,Linen,B2411-205,2024-11-14,3569.77,6102,5
SKU-0037,8906877547493,RoyalStitch Kids Shorts,KhaadiKraft,Kids,Kids Shorts,L,Black,Fleece,B2410-280,2024-10-17,2017.41,6105,5
SKU-0038,8908918884244,DesiDrape Cap सुनहरा,ThreadBare,Accessories,Cap,40,Black,Polyester,B2404-578,2024-04-23,7680.72,6101,5
SKU-0039,8902875551651,StreetStyle Kurta Pajama,IndoChic,Ethnic Wear,Kurta Pajama,XS,Peach,Fleece,B2406-397,2024-06-07,2255.02,6204,12
SKU-0040,8903019765733,ThreadBare Nehru Jacket,EthnicEdge,Ethnic Wear,Nehru Jacket,36,Indigo,Wool,B2404-906,2024-04-18,9410.67,6217,12
SKU-0041,8904829172854,DesiDrape Kids Dress,FabIndia,Kids,Kids Dress,28,Black,Crepe,B2412-251,2024-12-15,4189.73,6110,12
SKU-0042,8903942140538,LoomLine Skirt,UrbanWeave,Womenswear,Skirt,L,Charcoal,Polyester,B2407-454,2024-07-03,7117.8,6201,5
SKU-0043,8900048372719,IndoChic Kids Jeans सुनहरा,LoomLine,Kids,Kids Jeans,M,Off-White,Silk,B2411-519,2024-11-04,8152.26,6211,12
SKU-0044,8900758121714,OmniThreads Saree,LoomLine,Womenswear,Saree,30,Navy,Linen,B2501-795,2025-01-01,3170.29,6109,12
SKU-0045,8909167774334,CottonKing Kids T-Shirt,ThreadBare,Kids,Kids T-Shirt,30,Pink,Wool,B2411-368,2024-11-14,1638.76,6104,5
SKU-0046,8900546634470,StitchCraft Lehenga,IndoChic,Ethnic Wear,Lehenga,38,Rust,Chiffon,B2406-330,2024-06-25,7301.74,6217,5
SKU-0047,8908039985221,IndoChic Formal Shirt,StitchCraft,Menswear,Formal Shirt,M,Teal,Denim,B2412-288,2024-12-18,5132.75,6104,5
SKU-0048,8906143818865,OmniThreads Chinos,StitchCraft,Menswear,Chinos,Free Size,Sky Blue,Cotton,B2502-691,2025-02-09,6545.24,6214,5
SKU-0049,8906056704476,OmniThreads Leggings सुनहरा,SilkRoute,Womenswear,Leggings,L,Grey,Chiffon,B2502-745,2025-02-21,9962.24,6201,5
SKU-0050,8902913695454,SilkRoute Dress,StreetStyle,Womenswear,Dress,38,Rust,Viscose,B2407-194,2024-07-26,5787.75,6211,12
SKU-0051,8904294965946,SilkRoute Scarf,CottonKing,Accessories,Scarf,M,Mustard,Chiffon,B2502-957,2025-02-07,4659.06,6206,5
SKU-0052,8902675222376,RoyalStitch Cardigan,StitchCraft,Winterwear,Cardigan,S,Rust,Denim,B2412-986,2024-12-13,3004.16,6110,5
SKU-0053,8905901152192,RoyalStitch Saree,DesiDrape,Womenswear,Saree,XXL,Maroon,Crepe,B2408-698,2024-08-21,8514.23,6111,12
SKU-0054,8900450788137,SilkRoute Sherwani,OmniThreads,Ethnic Wear,Sherwani,42,Indigo,Polyester,B2410-804,2024-10-20,9431.8,6201,5
SKU-0055,8907081096302,ThreadBare Thermal,LoomLine,Winterwear,Thermal,36,Indigo,Denim,B2405-833,2024-05-05,6522.74,6205,5
SKU-0056,8907252022263,RoyalStitch Wallet,StreetStyle,Accessories,Wallet,34,Navy,Georgette,B2501-859,2025-01-02,426.5,6217,5
SKU-0057,8903801740181,StitchCraft T-Shirt,LoomLine,Menswear,T-Shirt,Free Size,Beige,Crepe,B2406-635,2024-06-11,5042.66,6111,12
SKU-0058,8900470125942,EthnicEdge Cardigan शानदार,FabIndia,Winterwear,Cardigan,M,Navy,Viscose,B2404-937,2024-04-06,7452.69,6106,5
SKU-0059,8903320433440,IndoChic Lehenga,WeaveMaster,Ethnic Wear,Lehenga,32,Mustard,Fleece,B2408-339,2024-08-27,9679.88,6110,5
SKU-0060,8901474928362,ThreadBare Kids Dress,RoyalStitch,Kids,Kids Dress,Free Size,Lavender,Georgette,B2410-192,2024-10-31,1861.0,6204,5
SKU-0061,8901995140290,ThreadBare Casual Shirt,IndoChic,Menswear,Casual Shirt,XL,Sky Blue,Wool,B2404-581,2024-04-23,7712.27,6109,5
SKU-0062,8904076409038,SilkRoute Thermal,EthnicEdge,Winterwear,Thermal,XL,Red,Wool,B2501-920,2025-01-23,6389.79,6104,5
SKU-0063,8904430350007,IndoChic Pocket Square शानदार,EthnicEdge,Accessories,Pocket Square,32,White,Linen,B2502-154,2025-02-21,4945.8,6103,5
SKU-0064,8900403424511,KhaadiKraft Shorts,StreetStyle,Menswear,Shorts,34,Indigo,Cotton,B2407-934,2024-07-28,3428.43,6205,12
SKU-0065,8906814079082,OmniThreads Leggings,LoomLine,Womenswear,Leggings,S,Red,Wool,B2407-442,2024-07-08,3453.5,6204,5
SKU-0066,8906389255077,StreetStyle Blazer,IndoChic,Menswear,Blazer,S,White,Denim,B2501-985,2025-01-31,7900.21,6104,12
SKU-0067,8909175055215,LoomLine Sherwani,UrbanWeave,Ethnic Wear,Sherwani,XS,Rust,Denim,B2411-303,2024-11-19,7143.06,6217,12
SKU-0068,8901791666050,LoomLine Scarf,RoyalStitch,Accessories,Scarf,XXL,Teal,Polyester,B2409-557,2024-09-11,2181.32,6109,12
SKU-0069,8905066011129,StreetStyle Top परंपरागत,OmniThreads,Womenswear,Top,XL,Beige,Fleece,B2404-598,2024-04-07,8472.87,6206,5
SKU-0070,8909240967906,SilkRoute Jacket राजशाही,CottonKing,Menswear,Jacket,30,Mustard,Rayon,B2407-140,2024-07-08,4996.76,6204,5
SKU-0071,8904837010822,FabIndia Cap शानदार,EthnicEdge,Accessories,Cap,3XL,Mustard,Polyester,B2412-511,2024-12-16,519.18,6205,5
SKU-0072,8905653104550,UrbanWeave Blazer,RoyalStitch,Menswear,Blazer,42,Grey,Linen,B2408-648,2024-08-24,1965.97,6109,12
SKU-0073,8903962465183,OmniThreads Leggings,UrbanWeave,Womenswear,Leggings,XXL,Off-White,Viscose,B2408-102,2024-08-05,5245.76,6101,12
SKU-0074,8903482675633,RoyalStitch Formal Shirt,IndoChic,Menswear,Formal Shirt,S,Maroon,Georgette,B2407-718,2024-07-06,4191.51,6101,12
SKU-0075,8906878137756,StreetStyle Kurta Pajama सुनहरा,OmniThreads,Ethnic Wear,Kurta Pajama,40,Beige,Polyester,B2405-994,2024-05-01,7868.72,6103,5
SKU-0076,8900625893978,ThreadBare Thermal,ThreadBare,Winterwear,Thermal,XL,Pink,Linen,B2412-594,2024-12-15,9667.43,6104,5
SKU-0077,8906581825519,LoomLine Kids Shorts राजशाही,OmniThreads,Kids,Kids Shorts,42,Mustard,Cotton,B2404-526,2024-04-26,8424.0,6205,5
SKU-0078,8901657113044,RoyalStitch Sherwani,LoomLine,Ethnic Wear,Sherwani,42,Rust,Linen,B2408-542,2024-08-07,9222.03,6111,5
SKU-0079,8901476714754,WeaveMaster Wallet,LoomLine,Accessories,Wallet,36,Maroon,Rayon,B2501-583,2025-01-23,8785.23,6217,12
SKU-0080,8907399688788,OmniThreads Kids Jeans,OmniThreads,Kids,Kids Jeans,XS,White,Fleece,B2501-815,2025-01-04,1893.51,6205,12
SKU-0081,8905531495646,LoomLine Jumpsuit,StitchCraft,Womenswear,Jumpsuit,32,Sky Blue,Poly-Cotton,B2408-222,2024-08-06,7027.23,6101,5
SKU-0082,8904894135089,StitchCraft Pocket Square,StreetStyle,Accessories,Pocket Square,30,Pink,Georgette,B2502-587,2025-02-04,8749.82,6103,12
SKU-0083,8903753218395,StreetStyle Nehru Jacket,UrbanWeave,Ethnic Wear,Nehru Jacket,42,Olive,Polyester,B2406-914,2024-06-10,2498.43,6202,5
SKU-0084,8906858376581,DesiDrape Anarkali,SilkRoute,Ethnic Wear,Anarkali,M,Peach,Rayon,B2406-904,2024-06-03,3210.67,6111,5
SKU-0085,8902381759502,DesiDrape Dhoti,OmniThreads,Ethnic Wear,Dhoti,L,Red,Cotton,B2501-871,2025-01-31,8127.87,6201,5
SKU-0086,8909872404061,LoomLine Kids Jeans,RoyalStitch,Kids,Kids Jeans,XXL,Peach,Georgette,B2501-527,2025-01-17,601.37,6211,5
SKU-0087,8907861359281,SilkRoute Cardigan,KhaadiKraft,Winterwear,Cardigan,36,Red,Crepe,B2501-877,2025-01-19,7471.0,6211,5
SKU-0088,8908428666630,SilkRoute Jacket,CottonKing,Menswear,Jacket,30,Pink,Rayon,B2404-899,2024-04-14,3947.09,6110,12
SKU-0089,8903645418664,LoomLine Shawl,EthnicEdge,Winterwear,Shawl,XS,Sky Blue,Rayon,B2410-191,2024-10-18,1227.59,6101,5
SKU-0090,8908090588941,KhaadiKraft Kids Jeans राजशाही,KhaadiKraft,Kids,Kids Jeans,38,Teal,Cotton,B2502-486,2025-02-24,2623.53,6110,5
SKU-0091,8909018554718,EthnicEdge Anarkali,SilkRoute,Ethnic Wear,Anarkali,32,Maroon,Cotton Blend,B2408-512,2024-08-30,7952.84,6217,12
SKU-0092,8909829945458,StitchCraft Thermal,StitchCraft,Winterwear,Thermal,XL,Indigo,Lycra,B2502-518,2025-02-01,6216.56,6110,5
SKU-0093,8907174823141,IndoChic Salwar Set,StreetStyle,Womenswear,Salwar Set,L,Sky Blue,Poly-Cotton,B2407-480,2024-07-29,3457.92,6105,5
SKU-0094,8900573943738,WeaveMaster Pocket Square,WeaveMaster,Accessories,Pocket Square,XS,Lavender,Lycra,B2408-756,2024-08-24,8105.64,6101,5
SKU-0095,8906347746947,FabIndia Kids Ethnic Set,WeaveMaster,Kids,Kids Ethnic Set,M,White,Wool,B2405-975,2024-05-28,7384.66,6104,5
SKU-0096,8903354146643,RoyalStitch Blouse,StreetStyle,Womenswear,Blouse,30,Red,Denim,B2501-259,2025-01-25,8273.3,6204,5
SKU-0097,8905966876459,CottonKing Kids T-Shirt,CottonKing,Kids,Kids T-Shirt,XS,Grey,Cotton Blend,B2412-768,2024-12-24,6549.59,6111,5
SKU-0098,8908089477789,KhaadiKraft Kids Shorts शानदार,LoomLine,Kids,Kids Shorts,XS,White,Georgette,B2410-972,2024-10-07,7647.87,6204,5
SKU-0099,8904555004070,UrbanWeave Shorts सुनहरा,KhaadiKraft,Menswear,Shorts,M,Peach,Viscose,B2411-979,2024-11-09,1366.47,6110,12
SKU-0100,8904756671572,EthnicEdge Shawl सुनहरा,SilkRoute,Winterwear,Shawl,30,Maroon,Viscose,B2404-252,2024-04-24,992.31,6217,12
SKU-0101,8903770186072,LoomLine Kids Jeans,WeaveMaster,Kids,Kids Jeans,40,Rust,Rayon,B2412-113,2024-12-26,603.79,6217,5
SKU-0102,8909352948064,LoomLine Kurta Pajama,LoomLine,Ethnic Wear,Kurta Pajama,36,Peach,Khadi,B2404-514,2024-04-13,5536.29,6203,5
SKU-0103,8908633723141,IndoChic Jacket,CottonKing,Menswear,Jacket,42,Maroon,Crepe,B2404-124,2024-04-17,8807.0,6106,5
SKU-0104,8909995520897,FabIndia Skirt शानदार,DesiDrape,Womenswear,Skirt,42,Lavender,Cotton,B2409-808,2024-09-03,8820.23,6202,12
SKU-0105,8902177216128,OmniThreads Saree देशी,EthnicEdge,Womenswear,Saree,XL,Navy,Silk,B2412-131,2024-12-31,6937.51,6205,12
SKU-0106,8909003934921,EthnicEdge Casual Shirt,StitchCraft,Menswear,Casual Shirt,36,Peach,Rayon,B2412-242,2024-12-11,9771.13,6111,5
SKU-0107,8909803304986,RoyalStitch Saree,FabIndia,Womenswear,Saree,XL,Sky Blue,Fleece,B2501-860,2025-01-19,8449.7,6203,12
SKU-0108,8908815238878,FabIndia Jacket राजशाही,CottonKing,Menswear,Jacket,L,Pink,Cotton,B2501-101,2025-01-16,8712.36,6110,5
SKU-0109,8903111764070,EthnicEdge Casual Shirt,FabIndia,Menswear,Casual Shirt,S,Navy,Georgette,B2409-285,2024-09-27,3288.73,6106,5
SKU-0110,8900568886752,StreetStyle Sherwani,IndoChic,Ethnic Wear,Sherwani,36,Mustard,Linen,B2406-444,2024-06-11,3114.62,6110,5
SKU-0111,8906125507490,ThreadBare Hoodie,StreetStyle,Winterwear,Hoodie,M,Off-White,Cotton,B2408-811,2024-08-18,651.11,6202,5
SKU-0112,8906258252787,ThreadBare Blouse,ThreadBare,Womenswear,Blouse,34,Olive,Chiffon,B2408-715,2024-08-09,1713.96,6211,5
SKU-0113,8908075442230,RoyalStitch Trousers शानदार,OmniThreads,Menswear,Trousers,M,Indigo,Fleece,B2408-169,2024-08-20,6290.31,6109,5
SKU-0114,8903097146714,KhaadiKraft Nehru Jacket,SilkRoute,Ethnic Wear,Nehru Jacket,Free Size,Off-White,Georgette,B2405-834,2024-05-27,7447.56,6102,5
SKU-0115,8904387898589,IndoChic Jacket,StreetStyle,Menswear,Jacket,32,Beige,Viscose,B2405-808,2024-05-11,4661.75,6211,5
SKU-0116,8904525661424,OmniThreads Anarkali,WeaveMaster,Ethnic Wear,Anarkali,XXL,Navy,Fleece,B2406-286,2024-06-04,9145.47,6214,5
SKU-0117,8901587995819,KhaadiKraft Tie,LoomLine,Accessories,Tie,XS,Beige,Khadi,B2409-131,2024-09-11,3248.16,6211,12
SKU-0118,8903251220543,DesiDrape Kids Dress,StitchCraft,Kids,Kids Dress,40,White,Georgette,B2502-870,2025-02-04,9463.49,6111,5
SKU-0119,8903149111324,SilkRoute Jacket,EthnicEdge,Menswear,Jacket,3XL,Off-White,Crepe,B2407-995,2024-07-12,4151.59,6205,5
SKU-0120,8901160740242,KhaadiKraft Pocket Square,DesiDrape,Accessories,Pocket Square,30,Pink,Khadi,B2502-574,2025-02-02,8731.4,6203,5
SKU-0121,8905952134248,SilkRoute Thermal संग्रह,LoomLine,Winterwear,Thermal,36,Olive,Linen,B2407-212,2024-07-27,1637.75,6201,5
SKU-0122,8905249501087,OmniThreads Polo,WeaveMaster,Menswear,Polo,34,Indigo,Lycra,B2407-366,2024-07-11,1189.33,6205,5
SKU-0123,8905049772710,CottonKing Polo,UrbanWeave,Menswear,Polo,3XL,Black,Khadi,B2501-996,2025-01-23,5627.81,6201,12
SKU-0124,8901766643230,FabIndia Dress,EthnicEdge,Womenswear,Dress,L,Off-White,Linen,B2404-812,2024-04-04,8233.07,6204,5
SKU-0125,8904665602503,EthnicEdge Leggings,LoomLine,Womenswear,Leggings,36,Pink,Denim,B2409-537,2024-09-10,2712.28,6201,5
SKU-0126,8905053910329,LoomLine Top,UrbanWeave,Womenswear,Top,28,Rust,Fleece,B2411-890,2024-11-28,8586.88,6105,5
SKU-0127,8901135854650,RoyalStitch Kids Shorts,ThreadBare,Kids,Kids Shorts,32,Sky Blue,Cotton Blend,B2409-453,2024-09-08,9335.48,6205,5
SKU-0128,8909714556344,RoyalStitch Scarf,DesiDrape,Accessories,Scarf,34,Lavender,Denim,B2405-737,2024-05-19,2171.98,6202,5
SKU-0129,8903669624575,StreetStyle Pocket Square,CottonKing,Accessories,Pocket Square,L,Beige,Viscose,B2406-989,2024-06-29,9824.69,6211,12
SKU-0130,8904014377515,DesiDrape Dhoti देशी,EthnicEdge,Ethnic Wear,Dhoti,L,Peach,Denim,B2405-113,2024-05-31,634.75,6102,5
SKU-0131,8905675536016,WeaveMaster Scarf,KhaadiKraft,Accessories,Scarf,M,White,Silk,B2412-557,2024-12-05,9466.64,6104,5
SKU-0132,8901318400629,IndoChic Trousers देशी,EthnicEdge,Menswear,Trousers,XL,Lavender,Crepe,B2412-843,2024-12-05,900.4,6102,12
SKU-0133,8909902908127,KhaadiKraft T-Shirt,EthnicEdge,Menswear,T-Shirt,28,Sky Blue,Cotton Blend,B2405-950,2024-05-05,6764.42,6202,5
SKU-0134,8904907591699,IndoChic Top,ThreadBare,Womenswear,Top,30,Peach,Fleece,B2410-242,2024-10-31,4869.73,6203,5
SKU-0135,8907404568797,WeaveMaster Kurta Pajama,OmniThreads,Ethnic Wear,Kurta Pajama,3XL,Mustard,Cotton Blend,B2404-511,2024-04-30,6330.22,6201,5
SKU-0136,8909127357146,FabIndia Dhoti,EthnicEdge,Ethnic Wear,Dhoti,S,Black,Poly-Cotton,B2408-881,2024-08-10,7945.8,6106,5
SKU-0137,8907643843722,LoomLine Kurti,DesiDrape,Womenswear,Kurti,XXL,Rust,Georgette,B2410-691,2024-10-21,9260.51,6110,5
SKU-0138,8909278510130,WeaveMaster Trousers,WeaveMaster,Menswear,Trousers,XS,Grey,Cotton Blend,B2411-292,2024-11-24,6525.77,6217,5
SKU-0139,8903750957370,LoomLine Shawl परंपरागत,FabIndia,Winterwear,Shawl,28,Mustard,Rayon,B2404-973,2024-04-09,766.61,6201,5
SKU-0140,8909202880147,SilkRoute Skirt,FabIndia,Womenswear,Skirt,Free Size,Teal,Silk,B2502-530,2025-02-09,8573.57,6205,5
SKU-0141,8902049985539,SilkRoute T-Shirt,LoomLine,Menswear,T-Shirt,42,Peach,Chiffon,B2410-507,2024-10-03,9727.76,6110,5
SKU-0142,8901178450033,RoyalStitch Formal Shirt,ThreadBare,Menswear,Formal Shirt,M,Mustard,Linen,B2409-539,2024-09-18,1085.21,6204,5
SKU-0143,8903765271139,RoyalStitch Blazer,StreetStyle,Menswear,Blazer,38,Off-White,Denim,B2411-459,2024-11-08,7212.77,6202,5
SKU-0144,8901410686313,RoyalStitch Socks राजशाही,LoomLine,Accessories,Socks,32,Peach,Cotton,B2406-939,2024-06-06,2679.85,6105,5
SKU-0145,8901004100646,OmniThreads Thermal,FabIndia,Winterwear,Thermal,S,Beige,Lycra,B2407-524,2024-07-27,965.56,6201,5
SKU-0146,8902544062903,StitchCraft Wallet,LoomLine,Accessories,Wallet,36,Teal,Khadi,B2502-219,2025-02-20,9766.94,6202,12
SKU-0147,8904833117045,StreetStyle Belt,StitchCraft,Accessories,Belt,28,Rust,Khadi,B2405-835,2024-05-11,1530.86,6105,5
SKU-0148,8908514948113,KhaadiKraft Trousers,RoyalStitch,Menswear,Trousers,34,Teal,Georgette,B2410-800,2024-10-14,5973.82,6104,5
SKU-0149,8903839581083,RoyalStitch Jeans,OmniThreads,Menswear,Jeans,38,Grey,Linen,B2406-225,2024-06-04,8105.83,6104,5
SKU-0150,8909019766784,UrbanWeave Casual Shirt,ThreadBare,Menswear,Casual Shirt,28,Mustard,Cotton,B2407-598,2024-07-18,1863.4,6101,5
SKU-0151,8901530205235,OmniThreads Kurta Pajama,WeaveMaster,Ethnic Wear,Kurta Pajama,40,Olive,Cotton Blend,B2408-238,2024-08-30,9622.98,6217,5
SKU-0152,8905119242589,WeaveMaster Cardigan,DesiDrape,Winterwear,Cardigan,3XL,Charcoal,Linen,B2406-852,2024-06-25,592.82,6203,5
SKU-0153,8904737024760,CottonKing Kids Ethnic Set,RoyalStitch,Kids,Kids Ethnic Set,XL,Navy,Wool,B2410-686,2024-10-11,5641.16,6111,5
SKU-0154,8908791752320,UrbanWeave Thermal संग्रह,StreetStyle,Winterwear,Thermal,28,Maroon,Wool,B2408-359,2024-08-04,2671.72,6204,5
SKU-0155,8907366347346,KhaadiKraft Casual Shirt,StitchCraft,Menswear,Casual Shirt,30,Rust,Poly-Cotton,B2410-964,2024-10-05,9132.17,6105,5
SKU-0156,8907924641117,StreetStyle Palazzo,WeaveMaster,Womenswear,Palazzo,XL,Grey,Fleece,B2405-579,2024-05-21,1816.82,6104,12
SKU-0157,8905453172767,ThreadBare Wallet शानदार,WeaveMaster,Accessories,Wallet,XS,Grey,Cotton Blend,B2408-300,2024-08-23,6736.2,6110,5
SKU-0158,8907872139268,IndoChic Blouse,CottonKing,Womenswear,Blouse,32,Lavender,Georgette,B2502-697,2025-02-11,2857.07,6103,5
SKU-0159,8904473681114,CottonKing Lehenga,DesiDrape,Ethnic Wear,Lehenga,XS,Charcoal,Poly-Cotton,B2408-387,2024-08-27,1790.37,6105,5
SKU-0160,8907091913326,StitchCraft Kurta Pajama,FabIndia,Ethnic Wear,Kurta Pajama,S,White,Poly-Cotton,B2406-325,2024-06-24,1305.92,6101,12
SKU-0161,8902478533081,FabIndia Puffer Jacket,SilkRoute,Winterwear,Puffer Jacket,XS,Off-White,Khadi,B2412-599,2024-12-27,5236.66,6110,5
SKU-0162,8904574485903,SilkRoute Kids Shorts,StitchCraft,Kids,Kids Shorts,XL,Grey,Polyester,B2407-923,2024-07-19,6455.98,6214,5
SKU-0163,8908905653359,ThreadBare Socks,IndoChic,Accessories,Socks,XL,Mustard,Chiffon,B2412-430,2024-12-17,7078.3,6104,5
SKU-0164,8902146102447,EthnicEdge Socks परंपरागत,StitchCraft,Accessories,Socks,40,Navy,Polyester,B2502-159,2025-02-09,9794.37,6206,5
SKU-0165,8902129690870,StreetStyle Thermal,StreetStyle,Winterwear,Thermal,42,Pink,Silk,B2410-914,2024-10-16,9141.7,6201,5
SKU-0166,8900306788259,EthnicEdge Kids Dress राजशाही,UrbanWeave,Kids,Kids Dress,L,Sky Blue,Chiffon,B2411-628,2024-11-25,1941.64,6202,5
SKU-0167,8900239874735,SilkRoute Dress,CottonKing,Womenswear,Dress,Free Size,Off-White,Cotton,B2407-754,2024-07-18,2181.23,6205,5
SKU-0168,8907210148003,UrbanWeave Puffer Jacket सुनहरा,KhaadiKraft,Winterwear,Puffer Jacket,XS,Lavender,Cotton,B2407-614,2024-07-31,3401.52,6203,5
SKU-0169,8905152613088,EthnicEdge Kids Ethnic Set,OmniThreads,Kids,Kids Ethnic Set,XS,Charcoal,Denim,B2411-615,2024-11-22,564.34,6102,5
SKU-0170,8907834646458,EthnicEdge Sherwani,UrbanWeave,Ethnic Wear,Sherwani,XS,Olive,Cotton Blend,B2501-260,2025-01-26,1348.46,6211,5
SKU-0171,8904002847890,IndoChic Dress,OmniThreads,Womenswear,Dress,XXL,Rust,Polyester,B2407-628,2024-07-26,7886.93,6217,5
SKU-0172,8903952745344,FabIndia Jumpsuit,KhaadiKraft,Womenswear,Jumpsuit,XL,Sky Blue,Chiffon,B2408-931,2024-08-18,9470.04,6104,5
